engagement_id,as_of_date,client_id,talent_id,role,risk_target,behs,performance_health,client_feedback_health,milestone_health,utilisation_health,sentiment_health,behs_delta,performance_health_delta,client_feedback_health_delta,milestone_health_delta,utilisation_health_delta,sentiment_health_delta,technical_score,delivery_score,communication_score,overall_score,feedback_rating,feedback_count,delay_days,delayed_milestones,milestone_count,utilisation,utilisation_delta,engagement_age_months,remaining_months,monthly_contract_value,contract_exposure
ENG-00001,2024-01-01,C-0023,T-0019,Data Engineer,0,63.82,67.78,70.41,60.55,68.53,52.02,0.0,0.0,0.0,0.0,0.0,0.0,67.84,65.86,61.4,66.89,3.52,1,7.0,1,1,0.5475,0.0,0,10,849199.4,8491994.0
ENG-00001,2024-02-01,C-0023,T-0019,Data Engineer,0,70.98,75.23,74.95,70.66,74.14,59.64,7.160000000000004,7.450000000000003,4.540000000000006,10.11,5.609999999999999,7.619999999999997,75.78,71.55,72.98,73.99,3.75,1,4.0,1,1,0.6656,0.11809999999999998,1,9,849199.4,7642794.600000001
ENG-00001,2024-03-01,C-0023,T-0019,Data Engineer,0,74.35,78.41,74.92,92.89,73.37,50.89,3.3699999999999903,3.1799999999999926,-0.030000000000001137,22.230000000000004,-0.769999999999996,-8.75,80.35,81.03,83.04,80.81,3.75,1,0.0,0,1,0.7895,0.12390000000000001,2,8,849199.4,6793595.2
ENG-00001,2024-04-01,C-0023,T-0019,Data Engineer,0,72.36,77.6,71.7,94.15,70.12,46.35,-1.9899999999999949,-0.8100000000000023,-3.219999999999999,1.2600000000000051,-3.25,-4.539999999999999,75.7,74.24,75.29,79.67,3.59,1,0.0,0,1,0.7386,-0.050899999999999945,3,7,849199.4,5944395.8
ENG-00001,2024-05-01,C-0023,T-0019,Data Engineer,0,73.36,75.07,85.37,78.52,72.41,54.77,1.0,-2.530000000000001,13.670000000000002,-15.63000000000001,2.289999999999992,8.420000000000002,76.81,83.06,71.8,79.54,4.27,1,3.0,0,1,0.7314,-0.007199999999999984,4,6,849199.4,5095196.4
ENG-00001,2024-06-01,C-0023,T-0019,Data Engineer,0,68.13,75.13,69.24,73.21,68.12,53.22,-5.230000000000004,0.060000000000002274,-16.13000000000001,-5.310000000000002,-4.289999999999992,-1.5500000000000043,70.09,76.37,73.44,72.59,3.46,1,5.0,1,1,0.5203,-0.21110000000000007,5,5,849199.4,4245997.0
ENG-00001,2024-07-01,C-0023,T-0019,Data Engineer,0,71.4,75.23,73.47,91.64,66.61,47.89,3.2700000000000102,0.10000000000000853,4.230000000000004,18.430000000000007,-1.5100000000000051,-5.329999999999998,75.84,79.27,80.99,78.72,3.67,1,1.0,0,1,0.5455,0.0252,6,4,849199.4,3396797.6
ENG-00001,2024-08-01,C-0023,T-0019,Data Engineer,0,65.83,77.52,72.47,51.03,79.08,49.43,-5.570000000000007,2.289999999999992,-1.0,-40.61,12.469999999999999,1.5399999999999991,79.88,66.04,74.79,69.13,3.62,1,8.0,1,1,0.785,0.23950000000000005,7,3,849199.4,2547598.2
ENG-00001,2024-09-01,C-0023,T-0019,Data Engineer,0,70.99,77.91,75.36,81.72,73.11,45.65,5.159999999999997,0.39000000000000057,2.8900000000000006,30.689999999999998,-5.969999999999999,-3.780000000000001,74.66,76.69,83.12,77.97,3.77,1,3.0,0,1,0.8039,0.018899999999999917,8,2,849199.4,1698398.8
ENG-00001,2024-10-01,C-0023,T-0019,Data Engineer,0,68.58,77.07,76.84,67.46,71.69,48.51,-2.4099999999999966,-0.8400000000000034,1.480000000000004,-14.260000000000005,-1.4200000000000017,2.8599999999999994,78.4,74.0,80.21,74.59,3.84,1,5.0,1,1,0.6975,-0.10639999999999994,9,1,849199.4,849199.4
