engagement_id,as_of_date,behs,health_band,client_id,client_name,industry,talent_id,role,monthly_contract_value,risk_probability,risk_band,contract_exposure,risk_adjusted_exposure
ENG-00001,2024-11-01,73.05,Watch,C-0023,Client 023,Banking,T-0019,Data Engineer,849199.4,0.0778770764203572,Low,0.0,0.0
ENG-00002,2024-10-01,49.15,Critical,C-0012,Client 012,Logistics,T-0161,BI Developer,2919287.51,0.9939621738678136,Critical,8757862.53,8704984.078754269
ENG-00003,2025-04-01,81.67,Healthy,C-0010,Client 010,FinTech,T-0319,AI Engineer,871689.12,0.0119224291831724,Low,0.0,0.0
ENG-00004,2026-08-01,65.21,Watch,C-0023,Client 023,Banking,T-0274,AI Engineer,1727105.82,0.2638218917331105,Low,5181317.46,1366944.973966995
ENG-00005,2025-02-01,69.33,Watch,C-0056,Client 056,FinTech,T-0041,Data Engineer,2473355.07,0.1622242025421963,Low,0.0,0.0
ENG-00006,2025-11-01,83.62,Healthy,C-0057,Client 057,Retail,T-0281,Data Scientist,2670167.58,0.0049404975827366,Low,0.0,0.0
ENG-00007,2025-02-01,77.26,Watch,C-0023,Client 023,Banking,T-0088,Data Analyst,1385891.02,0.0649424965410132,Low,0.0,0.0
ENG-00008,2025-06-01,79.92,Watch,C-0031,Client 031,Healthcare,T-0253,AI Engineer,2703625.01,0.0130929928254851,Low,0.0,0.0
ENG-00009,2025-12-01,62.44,Watch,C-0060,Client 060,Insurance,T-0288,Data Engineer,2328716.46,0.8667694723461694,Critical,6986149.38,6055381.0118341185
ENG-00010,2024-09-01,54.4,Critical,C-0015,Client 015,Insurance,T-0319,AI Engineer,1863957.97,0.9906966669480108,Critical,3727915.94,3693233.8964203605
ENG-00011,2025-06-01,73.7,Watch,C-0057,Client 057,Retail,T-0207,Data Scientist,1651697.75,0.1084458695971947,Low,0.0,0.0
ENG-00012,2026-08-01,78.77,Watch,C-0007,Client 007,FinTech,T-0205,ML Engineer,1408984.67,0.0135077056917131,Low,4226954.01,57096.45073948651
ENG-00013,2026-08-01,69.03,Watch,C-0014,Client 014,Energy,T-0340,Data Analyst,2584395.09,0.5515911680111382,Watch,18090765.63,9978706.544067454
ENG-00014,2024-06-01,45.83,Critical,C-0021,Client 021,Retail,T-0375,Analytics Engineer,1584376.04,0.9996017321503964,Critical,6337504.16,6334980.135846343
ENG-00015,2026-03-01,74.27,Watch,C-0003,Client 003,Insurance,T-0404,ML Engineer,1046131.65,0.5373573600202839,Watch,0.0,0.0
ENG-00016,2025-11-01,59.03,Critical,C-0049,Client 049,Insurance,T-0167,ML Engineer,1345848.94,0.7755836552887855,Critical,2691697.88,2087636.8807034746
ENG-00017,2026-08-01,69.27,Watch,C-0052,Client 052,Banking,T-0213,ML Engineer,831572.03,0.5598489837261463,Watch,9147292.33,5121102.314796473
ENG-00018,2025-09-01,60.31,Watch,C-0024,Client 024,Logistics,T-0166,ML Engineer,2084522.66,0.8638350882293077,Critical,10422613.299999999,9003419.079585455
ENG-00019,2024-12-01,73.1,Watch,C-0051,Client 051,Energy,T-0264,BI Developer,2133546.58,0.2118154220630301,Low,0.0,0.0
ENG-00020,2025-03-01,72.33,Watch,C-0047,Client 047,Healthcare,T-0064,BI Developer,1233237.71,0.0675678194177958,Low,0.0,0.0
ENG-00021,2024-12-01,49.58,Critical,C-0049,Client 049,Insurance,T-0216,ML Engineer,2251293.79,0.998310192840229,Critical,15759056.530000001,15732426.763444372
