engagement_id,as_of_date,monthly_contract_value,remaining_months,contract_exposure,risk_probability,risk_adjusted_exposure,client_name,client_id,talent_id,role
ENG-00001,2024-11-01,849199.4,0,0.0,0.0778770764203572,0.0,Client 023,C-0023,T-0019,Data Engineer
ENG-00002,2024-10-01,2919287.51,3,8757862.53,0.9939621738678136,8704984.078754269,Client 012,C-0012,T-0161,BI Developer
ENG-00003,2025-04-01,871689.12,0,0.0,0.0119224291831724,0.0,Client 010,C-0010,T-0319,AI Engineer
ENG-00004,2026-08-01,1727105.82,3,5181317.46,0.2638218917331105,1366944.973966995,Client 023,C-0023,T-0274,AI Engineer
ENG-00005,2025-02-01,2473355.07,0,0.0,0.1622242025421963,0.0,Client 056,C-0056,T-0041,Data Engineer
ENG-00006,2025-11-01,2670167.58,0,0.0,0.0049404975827366,0.0,Client 057,C-0057,T-0281,Data Scientist
ENG-00007,2025-02-01,1385891.02,0,0.0,0.0649424965410132,0.0,Client 023,C-0023,T-0088,Data Analyst
ENG-00008,2025-06-01,2703625.01,0,0.0,0.0130929928254851,0.0,Client 031,C-0031,T-0253,AI Engineer
ENG-00009,2025-12-01,2328716.46,3,6986149.38,0.8667694723461694,6055381.0118341185,Client 060,C-0060,T-0288,Data Engineer
ENG-00010,2024-09-01,1863957.97,2,3727915.94,0.9906966669480108,3693233.8964203605,Client 015,C-0015,T-0319,AI Engineer
ENG-00011,2025-06-01,1651697.75,0,0.0,0.1084458695971947,0.0,Client 057,C-0057,T-0207,Data Scientist
ENG-00012,2026-08-01,1408984.67,3,4226954.01,0.0135077056917131,57096.45073948651,Client 007,C-0007,T-0205,ML Engineer
ENG-00013,2026-08-01,2584395.09,7,18090765.63,0.5515911680111382,9978706.544067454,Client 014,C-0014,T-0340,Data Analyst
ENG-00014,2024-06-01,1584376.04,4,6337504.16,0.9996017321503964,6334980.135846343,Client 021,C-0021,T-0375,Analytics Engineer
ENG-00015,2026-03-01,1046131.65,0,0.0,0.5373573600202839,0.0,Client 003,C-0003,T-0404,ML Engineer
ENG-00016,2025-11-01,1345848.94,2,2691697.88,0.7755836552887855,2087636.8807034746,Client 049,C-0049,T-0167,ML Engineer
ENG-00017,2026-08-01,831572.03,11,9147292.33,0.5598489837261463,5121102.314796473,Client 052,C-0052,T-0213,ML Engineer
ENG-00018,2025-09-01,2084522.66,5,10422613.299999999,0.8638350882293077,9003419.079585455,Client 024,C-0024,T-0166,ML Engineer
ENG-00019,2024-12-01,2133546.58,0,0.0,0.2118154220630301,0.0,Client 051,C-0051,T-0264,BI Developer
ENG-00020,2025-03-01,1233237.71,0,0.0,0.0675678194177958,0.0,Client 047,C-0047,T-0064,BI Developer
ENG-00021,2024-12-01,2251293.79,7,15759056.530000001,0.998310192840229,15732426.763444372,Client 049,C-0049,T-0216,ML Engineer
ENG-00022,2026-08-01,2586655.06,0,0.0,0.0545275280091262,0.0,Client 049,C-0049,T-0095,ML Engineer
ENG-00023,2026-12-01,3075038.03,4,12300152.12,0.998513663887802,12281869.959718514,Client 035,C-0035,T-0267,ML Engineer
ENG-00024,2025-04-01,2730765.78,0,0.0,0.0040993073572563,0.0,Client 007,C-0007,T-0426,Analytics Engineer
ENG-00025,2025-11-01,1056323.36,0,0.0,0.1130289990978397,0.0,Client 056,C-0056,T-0493,BI Developer
ENG-00026,2025-05-01,980874.3,4,3923497.2,0.9955386710358268,3905993.188300788,Client 037,C-0037,T-0224,Data Scientist
ENG-00027,2025-07-01,1834920.02,0,0.0,0.0089401075094323,0.0,Client 055,C-0055,T-0029,Analytics Engineer
