issue_category,sentiment_label,observations,avg_sentiment
AVAILABILITY,Positive,253,0.4587999999999975
COLLABORATION,Positive,1825,0.44039999999998825
TIMELINE,Negative,276,-0.4766999999999972
CLIENT_EXPECTATION,Negative,233,-0.29599999999999993
CLIENT_EXPECTATION,Positive,1949,0.6908000000000112
GENERAL,Positive,1900,0.36120000000001123
COMMUNICATION,Positive,1887,0.5105999999999824
QUALITY,Neutral,247,0.0
TECHNICAL_SKILL,Positive,244,0.40189999999999865
COMMUNICATION,Neutral,252,0.0
COLLABORATION,Negative,228,-0.361199999999998
DELIVERY,Neutral,250,0.0
