engagement_id,as_of_date,top_drivers,top_driver_detail
ENG-00001,2024-01-01,Performance | Client feedback | Role profile,Performance (+0.84) | Client feedback (+0.44) | Role profile (+0.35)
ENG-00001,2024-02-01,No material driver detected,
ENG-00001,2024-03-01,No material driver detected,
ENG-00001,2024-04-01,Client feedback | Sentiment | Role profile,Client feedback (+0.78) | Sentiment (+0.68) | Role profile (+0.35)
ENG-00001,2024-05-01,No material driver detected,
ENG-00001,2024-06-01,Client feedback | Role profile | Utilisation,Client feedback (+2.77) | Role profile (+0.35) | Utilisation (+0.26)
ENG-00001,2024-07-01,No material driver detected,
ENG-00001,2024-08-01,No material driver detected,
ENG-00001,2024-09-01,No material driver detected,
ENG-00001,2024-10-01,No material driver detected,
ENG-00001,2024-11-01,No material driver detected,
ENG-00002,2024-07-01,No material driver detected,
ENG-00002,2024-08-01,Client feedback | Sentiment | Contract stage,Client feedback (+2.28) | Sentiment (+0.59) | Contract stage (+0.46)
ENG-00002,2024-09-01,Performance | Client feedback | Sentiment,Performance (+3.52) | Client feedback (+2.56) | Sentiment (+1.08)
ENG-00002,2024-10-01,Sentiment | Client feedback | Performance,Sentiment (+2.53) | Client feedback (+1.87) | Performance (+1.76)
ENG-00003,2024-10-01,No material driver detected,
ENG-00003,2024-11-01,No material driver detected,
ENG-00003,2024-12-01,No material driver detected,
ENG-00003,2025-01-01,No material driver detected,
ENG-00003,2025-02-01,No material driver detected,
ENG-00003,2025-03-01,No material driver detected,
ENG-00003,2025-04-01,No material driver detected,
ENG-00004,2026-05-01,Performance | Contract stage | Sentiment,Performance (+0.90) | Contract stage (+0.54) | Sentiment (+0.20)
ENG-00004,2026-06-01,No material driver detected,
ENG-00004,2026-07-01,Client feedback | Sentiment | Contract stage,Client feedback (+1.12) | Sentiment (+0.96) | Contract stage (+0.38)
ENG-00004,2026-08-01,No material driver detected,
ENG-00005,2024-03-01,Performance | Role profile | Sentiment,Performance (+0.45) | Role profile (+0.35) | Sentiment (+0.32)
ENG-00005,2024-04-01,No material driver detected,
ENG-00005,2024-05-01,Performance | Client feedback | Role profile,Performance (+2.24) | Client feedback (+0.52) | Role profile (+0.35)
ENG-00005,2024-06-01,Client feedback | Performance | Sentiment,Client feedback (+0.86) | Performance (+0.56) | Sentiment (+0.41)
ENG-00005,2024-07-01,No material driver detected,
ENG-00005,2024-08-01,Performance | Sentiment | Role profile,Performance (+1.95) | Sentiment (+1.27) | Role profile (+0.35)
ENG-00005,2024-09-01,No material driver detected,
ENG-00005,2024-10-01,No material driver detected,
ENG-00005,2024-11-01,Milestone delivery | Client feedback | Role profile,Milestone delivery (+1.08) | Client feedback (+0.86) | Role profile (+0.35)
ENG-00005,2024-12-01,Client feedback | Performance | Sentiment,Client feedback (+0.77) | Performance (+0.64) | Sentiment (+0.52)
ENG-00005,2025-01-01,No material driver detected,
ENG-00005,2025-02-01,No material driver detected,
ENG-00006,2025-02-01,No material driver detected,
ENG-00006,2025-03-01,No material driver detected,
ENG-00006,2025-04-01,No material driver detected,
ENG-00006,2025-05-01,No material driver detected,
ENG-00006,2025-06-01,No material driver detected,
ENG-00006,2025-07-01,No material driver detected,
ENG-00006,2025-08-01,No material driver detected,
ENG-00006,2025-09-01,No material driver detected,
ENG-00006,2025-10-01,No material driver detected,
ENG-00006,2025-11-01,No material driver detected,
ENG-00007,2024-07-01,No material driver detected,
ENG-00007,2024-08-01,No material driver detected,
ENG-00007,2024-09-01,Client feedback | Performance | Contract stage,Client feedback (+1.27) | Performance (+0.71) | Contract stage (+0.32)
ENG-00007,2024-10-01,No material driver detected,
ENG-00007,2024-11-01,Client feedback | Sentiment | Role profile,Client feedback (+1.93) | Sentiment (+0.76) | Role profile (+0.26)
ENG-00007,2024-12-01,No material driver detected,
ENG-00007,2025-01-01,No material driver detected,
ENG-00007,2025-02-01,No material driver detected,
ENG-00008,2024-11-01,No material driver detected,
ENG-00008,2024-12-01,No material driver detected,
ENG-00008,2025-01-01,No material driver detected,
ENG-00008,2025-02-01,No material driver detected,
ENG-00008,2025-03-01,No material driver detected,
ENG-00008,2025-04-01,Client feedback | Performance | Sentiment,Client feedback (+2.64) | Performance (+0.60) | Sentiment (+0.57)
ENG-00008,2025-05-01,No material driver detected,
ENG-00008,2025-06-01,No material driver detected,
ENG-00009,2025-03-01,No material driver detected,
ENG-00009,2025-04-01,No material driver detected,
ENG-00009,2025-05-01,No material driver detected,
