engagement_id,source_date,sentiment_score,sentiment_label,issue_category
ENG-00001,2024-01-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00001,2024-02-01,0.5106,Positive,COMMUNICATION
ENG-00001,2024-03-01,0.4404,Positive,COLLABORATION
ENG-00001,2024-04-01,0.5106,Positive,COMMUNICATION
ENG-00001,2024-05-01,0.3612,Positive,GENERAL
ENG-00001,2024-06-01,0.5106,Positive,COMMUNICATION
ENG-00001,2024-07-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00001,2024-08-01,0.5106,Positive,COMMUNICATION
ENG-00001,2024-09-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00001,2024-10-01,0.3612,Positive,GENERAL
ENG-00001,2024-11-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00002,2024-07-01,0.4404,Positive,COLLABORATION
ENG-00002,2024-08-01,-0.3612,Negative,COLLABORATION
ENG-00002,2024-09-01,0.4019,Positive,TECHNICAL_SKILL
ENG-00002,2024-10-01,-0.296,Negative,CLIENT_EXPECTATION
ENG-00003,2024-10-01,0.3612,Positive,GENERAL
ENG-00003,2024-11-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00003,2024-12-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00003,2025-01-01,0.3612,Positive,GENERAL
ENG-00003,2025-02-01,0.3612,Positive,GENERAL
ENG-00003,2025-03-01,0.5106,Positive,COMMUNICATION
ENG-00003,2025-04-01,0.3612,Positive,GENERAL
ENG-00004,2026-05-01,0.0,Neutral,COMMUNICATION
ENG-00004,2026-06-01,0.4019,Positive,TECHNICAL_SKILL
ENG-00004,2026-07-01,0.4404,Positive,COLLABORATION
ENG-00004,2026-08-01,0.4404,Positive,COLLABORATION
ENG-00005,2024-03-01,0.5106,Positive,COMMUNICATION
ENG-00005,2024-04-01,0.3612,Positive,GENERAL
ENG-00005,2024-05-01,0.5106,Positive,COMMUNICATION
ENG-00005,2024-06-01,0.3612,Positive,GENERAL
ENG-00005,2024-07-01,0.5106,Positive,COMMUNICATION
ENG-00005,2024-08-01,-0.4767,Negative,TIMELINE
ENG-00005,2024-09-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00005,2024-10-01,0.3612,Positive,GENERAL
ENG-00005,2024-11-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00005,2024-12-01,0.4404,Positive,COLLABORATION
ENG-00005,2025-01-01,0.4404,Positive,COLLABORATION
ENG-00005,2025-02-01,0.5106,Positive,COMMUNICATION
ENG-00006,2025-02-01,0.4404,Positive,COLLABORATION
ENG-00006,2025-03-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00006,2025-04-01,0.3612,Positive,GENERAL
ENG-00006,2025-05-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00006,2025-06-01,0.4404,Positive,COLLABORATION
ENG-00006,2025-07-01,0.3612,Positive,GENERAL
ENG-00006,2025-08-01,0.5106,Positive,COMMUNICATION
ENG-00006,2025-09-01,0.3612,Positive,GENERAL
ENG-00006,2025-10-01,0.4404,Positive,COLLABORATION
ENG-00006,2025-11-01,0.5106,Positive,COMMUNICATION
ENG-00007,2024-07-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00007,2024-08-01,0.3612,Positive,GENERAL
ENG-00007,2024-09-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00007,2024-10-01,0.3612,Positive,GENERAL
ENG-00007,2024-11-01,0.6908,Positive,CLIENT_EXPECTATION
ENG-00007,2024-12-01,0.5106,Positive,COMMUNICATION
ENG-00007,2025-01-01,0.4404,Positive,COLLABORATION
ENG-00007,2025-02-01,0.3612,Positive,GENERAL
ENG-00008,2024-11-01,0.5106,Positive,COMMUNICATION
ENG-00008,2024-12-01,0.5106,Positive,COMMUNICATION
ENG-00008,2025-01-01,0.5106,Positive,COMMUNICATION
ENG-00008,2025-02-01,0.5106,Positive,COMMUNICATION
ENG-00008,2025-03-01,0.5106,Positive,COMMUNICATION
ENG-00008,2025-04-01,0.3612,Positive,GENERAL
ENG-00008,2025-05-01,0.3612,Positive,GENERAL
ENG-00008,2025-06-01,0.5106,Positive,COMMUNICATION
