client_id,client_name,industry,company_size,account_manager_id
C-0001,Client 001,FinTech,Enterprise,AM-015
C-0002,Client 002,Energy,Enterprise,AM-003
C-0003,Client 003,Insurance,Mid-Market,AM-008
C-0004,Client 004,Healthcare,Mid-Market,AM-011
C-0005,Client 005,Healthcare,Mid-Market,AM-008
C-0006,Client 006,Energy,SME,AM-007
C-0007,Client 007,FinTech,SME,AM-003
C-0008,Client 008,Insurance,Mid-Market,AM-006
C-0009,Client 009,Banking,SME,AM-004
C-0010,Client 010,FinTech,Mid-Market,AM-005
C-0011,Client 011,Retail,Mid-Market,AM-011
C-0012,Client 012,Logistics,Enterprise,AM-010
C-0013,Client 013,Insurance,Enterprise,AM-010
C-0014,Client 014,Energy,Mid-Market,AM-006
C-0015,Client 015,Insurance,Enterprise,AM-015
C-0016,Client 016,Energy,Enterprise,AM-002
C-0017,Client 017,Retail,Mid-Market,AM-006
C-0018,Client 018,Banking,Mid-Market,AM-002
C-0019,Client 019,Energy,Mid-Market,AM-006
C-0020,Client 020,Healthcare,SME,AM-015
C-0021,Client 021,Retail,SME,AM-006
C-0022,Client 022,Telecom,SME,AM-014
C-0023,Client 023,Banking,Enterprise,AM-008
C-0024,Client 024,Logistics,Mid-Market,AM-011
C-0025,Client 025,Energy,Enterprise,AM-007
C-0026,Client 026,Insurance,Enterprise,AM-004
C-0027,Client 027,Healthcare,Mid-Market,AM-012
C-0028,Client 028,Energy,Mid-Market,AM-015
C-0029,Client 029,Retail,SME,AM-004
C-0030,Client 030,Healthcare,SME,AM-012
C-0031,Client 031,Healthcare,Mid-Market,AM-004
C-0032,Client 032,Banking,Mid-Market,AM-011
C-0033,Client 033,FinTech,Mid-Market,AM-012
C-0034,Client 034,Retail,Enterprise,AM-007
C-0035,Client 035,Logistics,Mid-Market,AM-012
C-0036,Client 036,FinTech,Mid-Market,AM-005
C-0037,Client 037,Energy,Mid-Market,AM-002
C-0038,Client 038,Energy,Mid-Market,AM-002
C-0039,Client 039,Telecom,SME,AM-007
C-0040,Client 040,Insurance,Mid-Market,AM-014
C-0041,Client 041,Banking,SME,AM-002
C-0042,Client 042,Energy,Mid-Market,AM-007
C-0043,Client 043,Insurance,Enterprise,AM-011
C-0044,Client 044,Telecom,SME,AM-004
C-0045,Client 045,FinTech,SME,AM-011
C-0046,Client 046,Logistics,Mid-Market,AM-005
C-0047,Client 047,Healthcare,Mid-Market,AM-013
C-0048,Client 048,Logistics,Mid-Market,AM-009
C-0049,Client 049,Insurance,Mid-Market,AM-009
C-0050,Client 050,Energy,Enterprise,AM-003
C-0051,Client 051,Energy,Mid-Market,AM-007
C-0052,Client 052,Banking,Mid-Market,AM-013
C-0053,Client 053,Telecom,Enterprise,AM-001
C-0054,Client 054,Healthcare,SME,AM-012
C-0055,Client 055,Healthcare,SME,AM-008
C-0056,Client 056,FinTech,SME,AM-011
C-0057,Client 057,Retail,Enterprise,AM-010
C-0058,Client 058,Banking,Mid-Market,AM-007
C-0059,Client 059,Insurance,SME,AM-005
C-0060,Client 060,Insurance,Mid-Market,AM-010
