engagement_id,as_of_date,performance_health,client_feedback_health,milestone_health,utilisation_health,sentiment_health,behs,health_band,churn_next_90d
ENG-00001,2024-01-01,67.78,70.41,60.55,68.53,52.02,63.82,Watch,0
ENG-00001,2024-02-01,75.23,74.95,70.66,74.14,59.64,70.98,Watch,0
ENG-00001,2024-03-01,78.41,74.92,92.89,73.37,50.89,74.35,Watch,0
ENG-00001,2024-04-01,77.6,71.7,94.15,70.12,46.35,72.36,Watch,0
ENG-00001,2024-05-01,75.07,85.37,78.52,72.41,54.77,73.36,Watch,0
ENG-00001,2024-06-01,75.13,69.24,73.21,68.12,53.22,68.13,Watch,0
ENG-00001,2024-07-01,75.23,73.47,91.64,66.61,47.89,71.4,Watch,0
ENG-00001,2024-08-01,77.52,72.47,51.03,79.08,49.43,65.83,Watch,0
ENG-00001,2024-09-01,77.91,75.36,81.72,73.11,45.65,70.99,Watch,0
ENG-00001,2024-10-01,77.07,76.84,67.46,71.69,48.51,68.58,Watch,0
ENG-00001,2024-11-01,75.38,77.96,85.71,68.84,55.72,73.05,Watch,0
ENG-00002,2024-07-01,76.48,80.11,90.14,74.0,56.27,75.52,Watch,0
ENG-00002,2024-08-01,78.81,68.11,90.28,70.11,49.56,71.81,Watch,1
ENG-00002,2024-09-01,62.44,59.07,76.37,73.26,42.04,62.09,Watch,1
ENG-00002,2024-10-01,60.79,56.45,44.54,58.01,25.26,49.15,Critical,1
ENG-00003,2024-10-01,81.78,94.05,100.0,78.99,66.48,84.4,Healthy,0
ENG-00003,2024-11-01,83.76,89.16,85.77,81.93,71.34,82.48,Healthy,0
ENG-00003,2024-12-01,83.91,82.77,99.62,73.89,63.07,81.15,Healthy,0
ENG-00003,2025-01-01,88.47,85.13,82.4,79.59,75.15,82.59,Healthy,0
ENG-00003,2025-02-01,84.48,90.47,89.87,72.64,60.48,80.18,Healthy,0
ENG-00003,2025-03-01,79.16,93.31,99.89,73.63,78.46,85.17,Healthy,0
ENG-00003,2025-04-01,88.82,87.5,85.62,76.67,66.73,81.67,Healthy,0
ENG-00004,2026-05-01,67.55,75.93,80.08,70.08,50.66,68.73,Watch,0
ENG-00004,2026-06-01,73.45,71.6,83.68,73.98,61.6,72.84,Watch,0
ENG-00004,2026-07-01,74.43,68.01,81.78,74.53,48.41,69.43,Watch,0
ENG-00004,2026-08-01,70.16,76.8,58.54,69.8,50.67,65.21,Watch,0
ENG-00005,2024-03-01,71.46,75.71,55.84,64.15,48.73,63.54,Watch,0
ENG-00005,2024-04-01,73.96,76.03,87.48,57.99,46.47,69.18,Watch,0
ENG-00005,2024-05-01,65.43,73.66,94.99,65.13,50.45,69.95,Watch,0
ENG-00005,2024-06-01,67.98,70.53,76.73,74.68,48.67,67.38,Watch,0
ENG-00005,2024-07-01,78.77,70.26,79.86,71.46,47.42,69.92,Watch,0
ENG-00005,2024-08-01,69.45,75.34,65.89,70.3,39.35,64.02,Watch,0
