engagement_id,client_id,talent_id,role,start_date,expected_end_date,monthly_contract_value,status,termination_date,outcome
ENG-00001,C-0023,T-0019,Data Engineer,2024-01-01,2024-11-01,849199.4,Active,,Completed
ENG-00002,C-0012,T-0161,BI Developer,2024-07-01,2025-01-01,2919287.51,Terminated,2024-10-01,Early Termination
ENG-00003,C-0010,T-0319,AI Engineer,2024-10-01,2025-04-01,871689.12,Active,,Completed
ENG-00004,C-0023,T-0274,AI Engineer,2026-05-01,2026-11-01,1727105.82,Active,,Renewed
ENG-00005,C-0056,T-0041,Data Engineer,2024-03-01,2025-02-01,2473355.07,Active,,Completed
ENG-00006,C-0057,T-0281,Data Scientist,2025-02-01,2025-11-01,2670167.58,Active,,Completed
ENG-00007,C-0023,T-0088,Data Analyst,2024-07-01,2025-02-01,1385891.02,Active,,Renewed
ENG-00008,C-0031,T-0253,AI Engineer,2024-11-01,2025-06-01,2703625.01,Active,,Renewed
ENG-00009,C-0060,T-0288,Data Engineer,2025-03-01,2026-03-01,2328716.46,Terminated,2025-12-01,Early Termination
ENG-00010,C-0015,T-0319,AI Engineer,2024-05-01,2024-11-01,1863957.97,Terminated,2024-09-01,Early Termination
ENG-00011,C-0057,T-0207,Data Scientist,2024-11-01,2025-06-01,1651697.75,Active,,Completed
ENG-00012,C-0007,T-0205,ML Engineer,2026-02-01,2026-11-01,1408984.67,Active,,Renewed
ENG-00013,C-0014,T-0340,Data Analyst,2026-04-01,2027-03-01,2584395.09,Active,,Renewed
ENG-00014,C-0021,T-0375,Analytics Engineer,2024-03-01,2024-10-01,1584376.04,Terminated,2024-06-01,Early Termination
ENG-00015,C-0003,T-0404,ML Engineer,2025-05-01,2026-03-01,1046131.65,Active,,Renewed
ENG-00016,C-0049,T-0167,ML Engineer,2025-03-01,2026-01-01,1345848.94,Terminated,2025-11-01,Early Termination
ENG-00017,C-0052,T-0213,ML Engineer,2026-08-01,2027-07-01,831572.03,Active,,Completed
ENG-00018,C-0024,T-0166,ML Engineer,2025-06-01,2026-02-01,2084522.66,Terminated,2025-09-01,Early Termination
ENG-00019,C-0051,T-0264,BI Developer,2024-02-01,2024-12-01,2133546.58,Active,,Renewed
ENG-00020,C-0047,T-0064,BI Developer,2024-06-01,2025-03-01,1233237.71,Active,,Completed
ENG-00021,C-0049,T-0216,ML Engineer,2024-07-01,2025-07-01,2251293.79,Terminated,2024-12-01,Early Termination
ENG-00022,C-0049,T-0095,ML Engineer,2025-10-01,2026-08-01,2586655.06,Active,,Renewed
ENG-00023,C-0035,T-0267,ML Engineer,2026-08-01,2027-04-01,3075038.03,Terminated,2026-12-01,Early Termination
ENG-00024,C-0007,T-0426,Analytics Engineer,2024-07-01,2025-04-01,2730765.78,Active,,Renewed
ENG-00025,C-0056,T-0493,BI Developer,2024-12-01,2025-11-01,1056323.36,Active,,Completed
ENG-00026,C-0037,T-0224,Data Scientist,2025-02-01,2025-09-01,980874.3,Terminated,2025-05-01,Early Termination
