engagement_id,as_of_date,performance_health,client_feedback_health,milestone_health,utilisation_health,sentiment_health,behs,health_band,churn_next_90d,monthly_contract_value,expected_end_date,remaining_months,contract_exposure,heuristic_risk_probability,risk_adjusted_exposure
ENG-00879,2024-04-01,60.57,48.06,74.66,63.97,22.79,53.84,Critical,1,3246220.95,2024-09-01,5,16231104.75,0.4616,7492277.9526
ENG-00390,2024-04-01,61.42,59.68,64.93,62.84,25.3,54.76,Critical,1,2954633.1,2024-07-01,3,8863899.3,0.4524,4010028.0433200006
ENG-00042,2024-04-01,61.69,62.33,71.38,74.44,30.99,59.53,Critical,1,1102643.33,2024-07-01,3,3307929.99,0.40469999999999995,1338719.2669529999
ENG-01036,2024-04-01,65.03,54.72,55.28,63.13,33.0,54.33,Critical,1,3088580.39,2024-11-01,7,21620062.73,0.4567,9873882.648791
ENG-00216,2024-04-01,60.3,58.24,63.31,76.3,32.38,57.3,Critical,1,1016686.64,2024-08-01,4,4066746.56,0.42700000000000005,1736500.7811200002
ENG-00183,2024-04-01,60.32,53.7,66.95,66.12,30.47,55.22,Critical,1,2917547.59,2024-07-01,3,8752642.77,0.4478,3919433.4324059994
ENG-01134,2024-05-01,55.92,55.8,25.79,59.28,28.44,44.87,Critical,1,1648321.34,2024-11-01,6,9889928.040000001,0.5513,5452317.328452
ENG-00937,2024-05-01,61.87,52.66,37.46,72.38,22.34,48.82,Critical,1,1079897.59,2024-10-01,5,5399487.95,0.5118,2763457.93281
ENG-00502,2024-05-01,57.2,54.54,43.37,49.94,23.66,46.1,Critical,1,1066910.14,2024-07-01,2,2133820.28,0.5389999999999999,1150129.1309199997
ENG-00231,2024-05-01,53.91,43.01,32.41,61.93,12.03,40.26,Critical,1,2868705.98,2024-08-01,3,8606117.94,0.5974,5141294.857356
ENG-00732,2024-05-01,63.38,62.45,58.89,70.43,26.44,55.97,Critical,1,855018.95,2024-10-01,5,4275094.75,0.4403,1882324.218425
ENG-00532,2024-05-01,62.05,62.19,53.13,68.64,20.67,53.01,Critical,1,1632753.29,2024-07-01,2,3265506.58,0.4699,1534461.541942
ENG-00196,2024-06-01,68.28,66.02,73.09,68.93,40.56,63.35,Watch,1,1292415.75,2025-02-01,8,10339326.0,0.36649999999999994,3789362.9789999994
ENG-00424,2024-06-01,61.23,59.99,54.9,63.36,22.79,52.35,Critical,1,1326783.72,2024-11-01,5,6633918.6,0.47650000000000003,3161062.2129
ENG-00398,2024-06-01,51.77,44.83,56.19,62.8,22.13,46.99,Critical,1,2572279.78,2024-12-01,6,15433678.68,0.5301,8181393.068268
ENG-00014,2024-06-01,53.43,40.11,56.9,63.27,17.89,45.83,Critical,1,1584376.04,2024-10-01,4,6337504.16,0.5417000000000001,3433026.0034720004
ENG-00925,2024-06-01,54.33,41.66,25.19,58.59,25.06,40.75,Critical,1,2990987.0,2024-10-01,4,11963948.0,0.5925,7088639.19
ENG-00466,2024-06-01,55.37,53.53,70.76,65.45,25.41,53.6,Critical,1,2745350.72,2024-09-01,3,8236052.16,0.46399999999999997,3821528.20224
ENG-01192,2024-06-01,66.06,54.99,69.38,63.06,23.72,55.59,Critical,1,813823.5,2024-11-01,5,4069117.5,0.44409999999999994,1807095.0817499997
ENG-01047,2024-07-01,78.34,86.51,89.44,70.91,63.28,78.07,Watch,0,981932.15,2024-07-01,0,0.0,0.21930000000000005,0.0
ENG-00851,2024-07-01,60.35,53.2,55.15,61.26,17.27,49.4,Critical,1,890204.68,2024-10-01,3,2670614.04,0.506,1351330.70424
