engagement_id,review_date,technical_score,delivery_score,communication_score,overall_score
ENG-00001,2024-01-01,67.84,65.86,61.4,66.89
ENG-00001,2024-02-01,75.78,71.55,72.98,73.99
ENG-00001,2024-03-01,80.35,81.03,83.04,80.81
ENG-00001,2024-04-01,75.7,74.24,75.29,79.67
ENG-00001,2024-05-01,76.81,83.06,71.8,79.54
ENG-00001,2024-06-01,70.09,76.37,73.44,72.59
ENG-00001,2024-07-01,75.84,79.27,80.99,78.72
ENG-00001,2024-08-01,79.88,66.04,74.79,69.13
ENG-00001,2024-09-01,74.66,76.69,83.12,77.97
ENG-00001,2024-10-01,78.4,74.0,80.21,74.59
ENG-00001,2024-11-01,78.05,70.43,76.78,78.86
ENG-00002,2024-07-01,78.15,74.21,74.69,81.16
ENG-00002,2024-08-01,81.03,82.2,75.5,77.93
ENG-00002,2024-09-01,62.6,64.72,52.04,64.74
ENG-00002,2024-10-01,63.05,57.84,49.0,55.21
ENG-00003,2024-10-01,83.7,83.39,90.18,90.63
ENG-00003,2024-11-01,88.59,93.33,93.04,86.15
ENG-00003,2024-12-01,83.66,86.99,79.26,87.44
ENG-00003,2025-01-01,92.11,80.31,99.07,85.78
ENG-00003,2025-02-01,87.97,83.81,92.32,87.92
ENG-00003,2025-03-01,77.81,79.7,79.39,89.3
ENG-00003,2025-04-01,85.55,93.43,90.53,87.56
ENG-00004,2026-05-01,65.57,68.72,64.77,73.62
ENG-00004,2026-06-01,77.36,87.29,78.35,75.36
ENG-00004,2026-07-01,74.98,78.26,78.42,74.02
ENG-00004,2026-08-01,73.81,66.78,73.23,69.58
ENG-00005,2024-03-01,72.17,67.76,66.62,69.04
ENG-00005,2024-04-01,71.87,68.07,74.09,78.06
ENG-00005,2024-05-01,66.65,66.06,64.25,75.7
ENG-00005,2024-06-01,64.12,64.19,68.85,71.06
ENG-00005,2024-07-01,76.72,71.0,69.62,76.06
ENG-00005,2024-08-01,67.47,67.45,71.45,70.62
ENG-00005,2024-09-01,70.03,76.01,65.94,77.88
ENG-00005,2024-10-01,73.85,79.45,74.61,77.88
ENG-00005,2024-11-01,79.51,58.72,84.14,63.49
ENG-00005,2024-12-01,81.03,79.24,73.38,69.87
ENG-00005,2025-01-01,65.51,73.75,81.07,76.57
ENG-00005,2025-02-01,78.16,67.49,72.3,73.34
ENG-00006,2025-02-01,89.51,88.65,95.01,91.82
ENG-00006,2025-03-01,91.57,85.6,94.64,90.41
ENG-00006,2025-04-01,84.83,92.42,85.99,91.48
ENG-00006,2025-05-01,86.12,87.62,90.54,87.74
ENG-00006,2025-06-01,78.32,78.46,96.25,87.65
ENG-00006,2025-07-01,82.48,73.91,90.96,87.01
ENG-00006,2025-08-01,86.49,84.31,100.0,90.79
