engagement_id,outcome_date,outcome_type,successful
ENG-00001,2024-11-01,Completed,True
ENG-00002,2024-10-01,Early Termination,False
ENG-00003,2025-04-01,Completed,True
ENG-00004,2026-11-01,Renewed,True
ENG-00005,2025-02-01,Completed,True
ENG-00006,2025-11-01,Completed,True
ENG-00007,2025-02-01,Renewed,True
ENG-00008,2025-06-01,Renewed,True
ENG-00009,2025-12-01,Early Termination,False
ENG-00010,2024-09-01,Early Termination,False
ENG-00011,2025-06-01,Completed,True
ENG-00012,2026-11-01,Renewed,True
ENG-00013,2027-03-01,Renewed,True
ENG-00014,2024-06-01,Early Termination,False
ENG-00015,2026-03-01,Renewed,True
ENG-00016,2025-11-01,Early Termination,False
ENG-00017,2027-07-01,Completed,True
ENG-00018,2025-09-01,Early Termination,False
ENG-00019,2024-12-01,Renewed,True
ENG-00020,2025-03-01,Completed,True
ENG-00021,2024-12-01,Early Termination,False
ENG-00022,2026-08-01,Renewed,True
ENG-00023,2026-12-01,Early Termination,False
ENG-00024,2025-04-01,Renewed,True
ENG-00025,2025-11-01,Completed,True
ENG-00026,2025-05-01,Early Termination,False
ENG-00027,2025-07-01,Renewed,True
ENG-00028,2027-02-01,Completed,True
ENG-00029,2024-10-01,Completed,True
ENG-00030,2025-08-01,Renewed,True
ENG-00031,2025-06-01,Completed,True
ENG-00032,2025-09-01,Renewed,True
ENG-00033,2025-05-01,Early Termination,False
ENG-00034,2025-05-01,Early Termination,False
ENG-00035,2025-04-01,Renewed,True
ENG-00036,2025-01-01,Completed,True
ENG-00037,2025-01-01,Completed,True
ENG-00038,2025-05-01,Renewed,True
ENG-00039,2025-03-01,Completed,True
ENG-00040,2025-08-01,Renewed,True
ENG-00041,2026-09-01,Renewed,True
ENG-00042,2024-04-01,Early Termination,False
ENG-00043,2026-06-01,Completed,True
ENG-00044,2026-04-01,Completed,True
ENG-00045,2026-09-01,Completed,True
ENG-00046,2026-11-01,Early Termination,False
ENG-00047,2026-03-01,Early Termination,False
ENG-00048,2025-10-01,Completed,True
ENG-00049,2025-02-01,Completed,True
ENG-00050,2026-02-01,Early Termination,False
ENG-00051,2025-06-01,Completed,True
ENG-00052,2025-01-01,Completed,True
ENG-00053,2026-07-01,Completed,True
