engagement_id,milestone_name,due_date,completion_date,status,delay_days
ENG-00001,Sprint 1,2024-01-21,2024-01-28,Delayed,7
ENG-00001,Sprint 2,2024-02-21,2024-02-25,Delayed,4
ENG-00001,Sprint 3,2024-03-21,2024-03-21,Completed,0
ENG-00001,Sprint 4,2024-04-21,2024-04-21,Completed,0
ENG-00001,Sprint 5,2024-05-21,2024-05-24,Completed,3
ENG-00001,Sprint 6,2024-06-21,2024-06-26,Delayed,5
ENG-00001,Sprint 7,2024-07-21,2024-07-22,Completed,1
ENG-00001,Sprint 8,2024-08-21,2024-08-29,Delayed,8
ENG-00001,Sprint 9,2024-09-21,2024-09-24,Completed,3
ENG-00001,Sprint 10,2024-10-21,2024-10-26,Delayed,5
ENG-00001,Sprint 11,2024-11-21,2024-11-23,Completed,2
ENG-00002,Sprint 1,2024-07-21,2024-07-23,Completed,2
ENG-00002,Sprint 2,2024-08-21,2024-08-21,Completed,0
ENG-00002,Sprint 3,2024-09-21,2024-09-23,Completed,2
ENG-00002,Sprint 4,2024-10-21,2024-10-29,Delayed,8
ENG-00003,Sprint 1,2024-10-21,2024-10-21,Completed,0
ENG-00003,Sprint 2,2024-11-21,2024-11-23,Completed,2
ENG-00003,Sprint 3,2024-12-21,2024-12-21,Completed,0
ENG-00003,Sprint 4,2025-01-21,2025-01-24,Completed,3
ENG-00003,Sprint 5,2025-02-21,2025-02-23,Completed,2
ENG-00003,Sprint 6,2025-03-21,2025-03-21,Completed,0
ENG-00003,Sprint 7,2025-04-21,2025-04-22,Completed,1
ENG-00004,Sprint 1,2026-05-21,2026-05-23,Completed,2
ENG-00004,Sprint 2,2026-06-21,2026-06-23,Completed,2
ENG-00004,Sprint 3,2026-07-21,2026-07-23,Completed,2
ENG-00004,Sprint 4,2026-08-21,2026-08-27,Delayed,6
ENG-00005,Sprint 1,2024-03-21,2024-03-29,Delayed,8
ENG-00005,Sprint 2,2024-04-21,2024-04-22,Completed,1
ENG-00005,Sprint 3,2024-05-21,2024-05-21,Completed,0
ENG-00005,Sprint 4,2024-06-21,2024-06-24,Completed,3
ENG-00005,Sprint 5,2024-07-21,2024-07-24,Completed,3
ENG-00005,Sprint 6,2024-08-21,2024-08-26,Delayed,5
ENG-00005,Sprint 7,2024-09-21,2024-09-21,Completed,0
ENG-00005,Sprint 8,2024-10-21,2024-10-21,Completed,0
ENG-00005,Sprint 9,2024-11-21,2024-12-03,Delayed,12
ENG-00005,Sprint 10,2024-12-21,2024-12-26,Delayed,5
