talent_id,talent_name,role,seniority,years_experience,primary_skill,location
T-0001,Synthetic Talent 0001,Data Analyst,Senior,11.4,Databricks,Abuja
T-0002,Synthetic Talent 0002,Analytics Engineer,Mid,4.4,NLP,Lagos
T-0003,Synthetic Talent 0003,Data Analyst,Mid,11.6,NLP,Lagos
T-0004,Synthetic Talent 0004,Analytics Engineer,Mid,5.6,GCP,Lagos
T-0005,Synthetic Talent 0005,Analytics Engineer,Mid,11.1,Spark,Port Harcourt
T-0006,Synthetic Talent 0006,Data Analyst,Mid,5.2,AWS,Port Harcourt
T-0007,Synthetic Talent 0007,AI Engineer,Lead,5.9,Python,Port Harcourt
T-0008,Synthetic Talent 0008,Data Scientist,Mid,6.7,AWS,Port Harcourt
T-0009,Synthetic Talent 0009,AI Engineer,Mid,15.7,Spark,Remote
T-0010,Synthetic Talent 0010,Data Analyst,Senior,8.2,SQL,Accra
T-0011,Synthetic Talent 0011,Data Engineer,Senior,3.2,Power BI,Port Harcourt
T-0012,Synthetic Talent 0012,ML Engineer,Lead,8.6,Azure,Remote
T-0013,Synthetic Talent 0013,Data Engineer,Senior,4.3,Spark,Remote
T-0014,Synthetic Talent 0014,Data Scientist,Mid,3.9,Databricks,Remote
T-0015,Synthetic Talent 0015,Analytics Engineer,Mid,8.4,AWS,Lagos
T-0016,Synthetic Talent 0016,Data Engineer,Lead,5.6,Databricks,Accra
T-0017,Synthetic Talent 0017,Analytics Engineer,Senior,6.4,GCP,Lagos
T-0018,Synthetic Talent 0018,Data Analyst,Lead,5.5,SQL,Port Harcourt
T-0019,Synthetic Talent 0019,Data Engineer,Junior,6.6,Power BI,Remote
T-0020,Synthetic Talent 0020,Analytics Engineer,Senior,6.9,Machine Learning,Port Harcourt
T-0021,Synthetic Talent 0021,AI Engineer,Senior,0.5,Azure,Abuja
T-0022,Synthetic Talent 0022,Data Engineer,Mid,7.6,Spark,Accra
T-0023,Synthetic Talent 0023,Data Scientist,Senior,2.4,Azure,Lagos
T-0024,Synthetic Talent 0024,BI Developer,Senior,0.9,Databricks,Abuja
T-0025,Synthetic Talent 0025,BI Developer,Junior,5.3,Spark,Accra
T-0026,Synthetic Talent 0026,Analytics Engineer,Mid,5.8,SQL,Remote
T-0027,Synthetic Talent 0027,ML Engineer,Senior,3.3,Spark,Lagos
T-0028,Synthetic Talent 0028,Data Scientist,Mid,8.2,Databricks,Remote
T-0029,Synthetic Talent 0029,Analytics Engineer,Mid,1.2,Machine Learning,Accra
T-0030,Synthetic Talent 0030,Analytics Engineer,Mid,4.2,NLP,Lagos
T-0031,Synthetic Talent 0031,Data Scientist,Mid,3.6,Databricks,Port Harcourt
T-0032,Synthetic Talent 0032,Data Analyst,Lead,5.4,Python,Port Harcourt
T-0033,Synthetic Talent 0033,Data Engineer,Senior,6.4,Power BI,Lagos
T-0034,Synthetic Talent 0034,BI Developer,Junior,2.3,SQL,Abuja
T-0035,Synthetic Talent 0035,Data Scientist,Lead,7.8,SQL,Lagos
T-0036,Synthetic Talent 0036,ML Engineer,Senior,5.7,NLP,Lagos
T-0037,Synthetic Talent 0037,ML Engineer,Mid,0.5,Databricks,Port Harcourt
T-0038,Synthetic Talent 0038,AI Engineer,Senior,0.5,Python,Port Harcourt
T-0039,Synthetic Talent 0039,Data Analyst,Junior,5.5,Machine Learning,Abuja
T-0040,Synthetic Talent 0040,Data Analyst,Lead,4.8,Azure,Abuja
T-0041,Synthetic Talent 0041,Data Engineer,Senior,5.2,SQL,Lagos
T-0042,Synthetic Talent 0042,ML Engineer,Senior,5.4,Databricks,Remote
T-0043,Synthetic Talent 0043,Analytics Engineer,Junior,6.2,NLP,Abuja
T-0044,Synthetic Talent 0044,ML Engineer,Lead,8.5,Azure,Accra
T-0045,Synthetic Talent 0045,ML Engineer,Junior,1.9,Machine Learning,Port Harcourt
T-0046,Synthetic Talent 0046,BI Developer,Mid,1.7,Spark,Accra
T-0047,Synthetic Talent 0047,Data Engineer,Mid,2.0,Machine Learning,Remote
T-0048,Synthetic Talent 0048,Analytics Engineer,Senior,6.4,AWS,Abuja
T-0049,Synthetic Talent 0049,ML Engineer,Mid,9.5,Databricks,Remote
T-0050,Synthetic Talent 0050,ML Engineer,Lead,4.1,SQL,Abuja
T-0051,Synthetic Talent 0051,AI Engineer,Senior,0.5,Python,Lagos
T-0052,Synthetic Talent 0052,Data Engineer,Junior,0.5,Databricks,Abuja
T-0053,Synthetic Talent 0053,BI Developer,Junior,2.8,Power BI,Abuja
T-0054,Synthetic Talent 0054,Data Scientist,Junior,3.7,Spark,Lagos
T-0055,Synthetic Talent 0055,ML Engineer,Senior,4.2,Machine Learning,Lagos
T-0056,Synthetic Talent 0056,ML Engineer,Senior,5.6,Python,Accra
T-0057,Synthetic Talent 0057,AI Engineer,Mid,4.5,Azure,Port Harcourt
T-0058,Synthetic Talent 0058,ML Engineer,Senior,8.9,Power BI,Port Harcourt
