engagement_id,period_start,expected_hours,actual_hours,utilisation_rate
ENG-00001,2024-01-01,160.0,87.59,0.5475
ENG-00001,2024-02-01,160.0,106.49,0.6656
ENG-00001,2024-03-01,160.0,126.32,0.7895
ENG-00001,2024-04-01,160.0,118.18,0.7386
ENG-00001,2024-05-01,160.0,117.03,0.7314
ENG-00001,2024-06-01,160.0,83.25,0.5203
ENG-00001,2024-07-01,160.0,87.28,0.5455
ENG-00001,2024-08-01,160.0,125.6,0.785
ENG-00001,2024-09-01,160.0,128.63,0.8039
ENG-00001,2024-10-01,160.0,111.6,0.6975
ENG-00001,2024-11-01,160.0,91.09,0.5693
ENG-00002,2024-07-01,160.0,96.43,0.6027
ENG-00002,2024-08-01,160.0,106.43,0.6652
ENG-00002,2024-09-01,160.0,118.31,0.7394
ENG-00002,2024-10-01,160.0,70.38,0.4399
ENG-00003,2024-10-01,160.0,106.86,0.6679
ENG-00003,2024-11-01,160.0,138.78,0.8674
ENG-00003,2024-12-01,160.0,100.86,0.6304
ENG-00003,2025-01-01,160.0,103.46,0.6466
ENG-00003,2025-02-01,160.0,104.7,0.6544
ENG-00003,2025-03-01,160.0,111.39,0.6962
ENG-00003,2025-04-01,160.0,108.69,0.6793
ENG-00004,2026-05-01,160.0,110.3,0.6894
ENG-00004,2026-06-01,160.0,114.06,0.7129
ENG-00004,2026-07-01,160.0,105.81,0.6613
ENG-00004,2026-08-01,160.0,102.1,0.6381
ENG-00005,2024-03-01,160.0,93.92,0.587
ENG-00005,2024-04-01,160.0,83.31,0.5207
ENG-00005,2024-05-01,160.0,72.92,0.4558
ENG-00005,2024-06-01,160.0,112.84,0.7052
ENG-00005,2024-07-01,160.0,92.48,0.578
ENG-00005,2024-08-01,160.0,91.95,0.5747
ENG-00005,2024-09-01,160.0,87.65,0.5478
ENG-00005,2024-10-01,160.0,103.1,0.6444
ENG-00005,2024-11-01,160.0,101.91,0.6369
ENG-00005,2024-12-01,160.0,105.57,0.6598
ENG-00005,2025-01-01,160.0,121.17,0.7573
ENG-00005,2025-02-01,160.0,83.03,0.5189
ENG-00006,2025-02-01,160.0,129.1,0.8069
ENG-00006,2025-03-01,160.0,120.55,0.7534
ENG-00006,2025-04-01,160.0,123.22,0.7701
ENG-00006,2025-05-01,160.0,114.04,0.7127
ENG-00006,2025-06-01,160.0,117.98,0.7374
ENG-00006,2025-07-01,160.0,106.23,0.664
ENG-00006,2025-08-01,160.0,125.82,0.7864
ENG-00006,2025-09-01,160.0,127.86,0.7991
ENG-00006,2025-10-01,160.0,117.85,0.7365
ENG-00006,2025-11-01,160.0,92.94,0.5808
ENG-00007,2024-07-01,160.0,85.6,0.535
ENG-00007,2024-08-01,160.0,110.51,0.6907
ENG-00007,2024-09-01,160.0,117.45,0.7341
ENG-00007,2024-10-01,160.0,114.75,0.7172
ENG-00007,2024-11-01,160.0,105.35,0.6584
ENG-00007,2024-12-01,160.0,116.39,0.7274
ENG-00007,2025-01-01,160.0,85.0,0.5312
ENG-00007,2025-02-01,160.0,138.11,0.8632
ENG-00008,2024-11-01,160.0,84.05,0.5253
ENG-00008,2024-12-01,160.0,98.84,0.6177
ENG-00008,2025-01-01,160.0,106.55,0.666
ENG-00008,2025-02-01,160.0,97.15,0.6072
ENG-00008,2025-03-01,160.0,82.62,0.5164
ENG-00008,2025-04-01,160.0,96.47,0.6029
ENG-00008,2025-05-01,160.0,117.05,0.7316
ENG-00008,2025-06-01,160.0,120.35,0.7522
ENG-00009,2025-03-01,160.0,86.52,0.5408
ENG-00009,2025-04-01,160.0,73.78,0.4611
ENG-00009,2025-05-01,160.0,102.69,0.6418
ENG-00009,2025-06-01,160.0,130.02,0.8126
ENG-00009,2025-07-01,160.0,134.86,0.8429
ENG-00009,2025-08-01,160.0,149.05,0.9316
ENG-00009,2025-09-01,160.0,99.46,0.6216
ENG-00009,2025-10-01,160.0,102.75,0.6422
ENG-00009,2025-11-01,160.0,77.7,0.4856
ENG-00009,2025-12-01,160.0,101.3,0.6331
ENG-00010,2024-05-01,160.0,135.04,0.844
ENG-00010,2024-06-01,160.0,91.32,0.5707
ENG-00010,2024-07-01,160.0,99.99,0.6249
ENG-00010,2024-08-01,160.0,114.97,0.7186
ENG-00010,2024-09-01,160.0,91.96,0.5747
ENG-00011,2024-11-01,160.0,102.01,0.6376
ENG-00011,2024-12-01,160.0,95.51,0.597
ENG-00011,2025-01-01,160.0,115.22,0.7201
ENG-00011,2025-02-01,160.0,121.29,0.7581
ENG-00011,2025-03-01,160.0,126.43,0.7902
ENG-00011,2025-04-01,160.0,95.38,0.5961
ENG-00011,2025-05-01,160.0,101.86,0.6366
ENG-00011,2025-06-01,160.0,97.31,0.6082
ENG-00012,2026-02-01,160.0,105.89,0.6618
ENG-00012,2026-03-01,160.0,117.25,0.7328
ENG-00012,2026-04-01,160.0,108.51,0.6782
ENG-00012,2026-05-01,160.0,114.25,0.7141
ENG-00012,2026-06-01,160.0,81.4,0.5088
ENG-00012,2026-07-01,160.0,101.08,0.6317
ENG-00012,2026-08-01,160.0,104.88,0.6555
ENG-00013,2026-04-01,160.0,103.37,0.646
ENG-00013,2026-05-01,160.0,75.56,0.4722
ENG-00013,2026-06-01,160.0,98.29,0.6143
ENG-00013,2026-07-01,160.0,115.09,0.7193
ENG-00013,2026-08-01,160.0,112.15,0.7009
ENG-00014,2024-03-01,160.0,122.93,0.7683
ENG-00014,2024-04-01,160.0,99.52,0.622
ENG-00014,2024-05-01,160.0,109.05,0.6815
ENG-00014,2024-06-01,160.0,87.99,0.55
ENG-00015,2025-05-01,160.0,100.15,0.6259
ENG-00015,2025-06-01,160.0,140.81,0.8801
ENG-00015,2025-07-01,160.0,100.06,0.6254
ENG-00015,2025-08-01,160.0,118.51,0.7407
ENG-00015,2025-09-01,160.0,99.62,0.6227
ENG-00015,2025-10-01,160.0,102.71,0.642
ENG-00015,2025-11-01,160.0,118.45,0.7403
ENG-00015,2025-12-01,160.0,109.15,0.6822
ENG-00015,2026-01-01,160.0,123.73,0.7733
ENG-00015,2026-02-01,160.0,101.44,0.634
ENG-00015,2026-03-01,160.0,140.57,0.8786
ENG-00016,2025-03-01,160.0,96.38,0.6024
ENG-00016,2025-04-01,160.0,100.38,0.6274
ENG-00016,2025-05-01,160.0,101.85,0.6366
ENG-00016,2025-06-01,160.0,134.06,0.8379
ENG-00016,2025-07-01,160.0,102.95,0.6434
ENG-00016,2025-08-01,160.0,140.6,0.8788
ENG-00016,2025-09-01,160.0,113.76,0.711
ENG-00016,2025-10-01,160.0,106.7,0.6668
ENG-00016,2025-11-01,160.0,121.81,0.7613
ENG-00017,2026-08-01,160.0,104.12,0.6508
ENG-00018,2025-06-01,160.0,131.88,0.8242
ENG-00018,2025-07-01,160.0,81.35,0.5085
ENG-00018,2025-08-01,160.0,115.78,0.7237
ENG-00018,2025-09-01,160.0,100.96,0.631
ENG-00019,2024-02-01,160.0,120.96,0.756
ENG-00019,2024-03-01,160.0,123.81,0.7738
ENG-00019,2024-04-01,160.0,125.64,0.7853
ENG-00019,2024-05-01,160.0,142.95,0.8935
ENG-00019,2024-06-01,160.0,104.04,0.6503
ENG-00019,2024-07-01,160.0,90.57,0.5661
ENG-00019,2024-08-01,160.0,103.87,0.6492
ENG-00019,2024-09-01,160.0,85.73,0.5358
ENG-00019,2024-10-01,160.0,77.87,0.4867
ENG-00019,2024-11-01,160.0,118.19,0.7387
ENG-00019,2024-12-01,160.0,101.9,0.6369
ENG-00020,2024-06-01,160.0,102.47,0.6404
ENG-00020,2024-07-01,160.0,123.57,0.7723
ENG-00020,2024-08-01,160.0,105.44,0.659
ENG-00020,2024-09-01,160.0,115.2,0.72
ENG-00020,2024-10-01,160.0,110.78,0.6923
ENG-00020,2024-11-01,160.0,142.15,0.8884
ENG-00020,2024-12-01,160.0,85.84,0.5365
ENG-00020,2025-01-01,160.0,128.15,0.801
ENG-00020,2025-02-01,160.0,99.61,0.6226
ENG-00020,2025-03-01,160.0,112.7,0.7044
ENG-00021,2024-07-01,160.0,77.68,0.4855
ENG-00021,2024-08-01,160.0,71.49,0.4468
ENG-00021,2024-09-01,160.0,137.75,0.8609
ENG-00021,2024-10-01,160.0,104.16,0.651
ENG-00021,2024-11-01,160.0,97.59,0.6099
ENG-00021,2024-12-01,160.0,105.79,0.6612
ENG-00022,2025-10-01,160.0,92.39,0.5774
ENG-00022,2025-11-01,160.0,107.29,0.6705
ENG-00022,2025-12-01,160.0,127.79,0.7987
ENG-00022,2026-01-01,160.0,119.25,0.7453
ENG-00022,2026-02-01,160.0,111.97,0.6998
ENG-00022,2026-03-01,160.0,101.2,0.6325
ENG-00022,2026-04-01,160.0,98.59,0.6162
ENG-00022,2026-05-01,160.0,109.58,0.6849
ENG-00022,2026-06-01,160.0,108.06,0.6754
ENG-00022,2026-07-01,160.0,99.33,0.6208
ENG-00022,2026-08-01,160.0,74.35,0.4647
ENG-00023,2026-08-01,160.0,110.14,0.6884
ENG-00023,2026-09-01,160.0,60.11,0.3757
ENG-00023,2026-10-01,160.0,106.64,0.6665
ENG-00023,2026-11-01,160.0,101.04,0.6315
ENG-00023,2026-12-01,160.0,89.81,0.5613
ENG-00024,2024-07-01,160.0,95.7,0.5981
ENG-00024,2024-08-01,160.0,116.5,0.7282
ENG-00024,2024-09-01,160.0,130.05,0.8128
ENG-00024,2024-10-01,160.0,92.14,0.5759
ENG-00024,2024-11-01,160.0,104.06,0.6504
ENG-00024,2024-12-01,160.0,108.6,0.6787
ENG-00024,2025-01-01,160.0,83.52,0.522
ENG-00024,2025-02-01,160.0,89.19,0.5574
ENG-00024,2025-03-01,160.0,118.19,0.7387
ENG-00024,2025-04-01,160.0,116.9,0.7306
ENG-00025,2024-12-01,160.0,98.4,0.615
ENG-00025,2025-01-01,160.0,93.0,0.5812
ENG-00025,2025-02-01,160.0,99.89,0.6243
ENG-00025,2025-03-01,160.0,127.21,0.7951
ENG-00025,2025-04-01,160.0,98.34,0.6146
ENG-00025,2025-05-01,160.0,121.04,0.7565
ENG-00025,2025-06-01,160.0,138.79,0.8674
ENG-00025,2025-07-01,160.0,133.85,0.8366
ENG-00025,2025-08-01,160.0,96.95,0.6059
ENG-00025,2025-09-01,160.0,106.3,0.6644
ENG-00025,2025-10-01,160.0,93.42,0.5839
ENG-00025,2025-11-01,160.0,127.31,0.7957
ENG-00026,2025-02-01,160.0,112.56,0.7035
ENG-00026,2025-03-01,160.0,108.51,0.6782
ENG-00026,2025-04-01,160.0,127.3,0.7956
ENG-00026,2025-05-01,160.0,123.16,0.7697
ENG-00027,2024-07-01,160.0,119.95,0.7497
ENG-00027,2024-08-01,160.0,120.3,0.7519
ENG-00027,2024-09-01,160.0,87.86,0.5491
ENG-00027,2024-10-01,160.0,107.42,0.6714
ENG-00027,2024-11-01,160.0,111.05,0.6941
ENG-00027,2024-12-01,160.0,127.79,0.7987
ENG-00027,2025-01-01,160.0,110.55,0.6909
ENG-00027,2025-02-01,160.0,89.81,0.5613
ENG-00027,2025-03-01,160.0,102.21,0.6388
ENG-00027,2025-04-01,160.0,105.3,0.6581
ENG-00027,2025-05-01,160.0,105.35,0.6585
ENG-00027,2025-06-01,160.0,112.67,0.7042
ENG-00027,2025-07-01,160.0,118.52,0.7408
ENG-00028,2026-07-01,160.0,98.06,0.6129
ENG-00028,2026-08-01,160.0,105.59,0.6599
ENG-00029,2024-04-01,160.0,117.65,0.7353
ENG-00029,2024-05-01,160.0,115.76,0.7235
ENG-00029,2024-06-01,160.0,117.67,0.7354
ENG-00029,2024-07-01,160.0,120.04,0.7502
ENG-00029,2024-08-01,160.0,75.86,0.4741
ENG-00029,2024-09-01,160.0,84.0,0.525
ENG-00029,2024-10-01,160.0,71.85,0.449
ENG-00030,2024-08-01,160.0,96.56,0.6035
ENG-00030,2024-09-01,160.0,98.09,0.6131
ENG-00030,2024-10-01,160.0,130.15,0.8135
ENG-00030,2024-11-01,160.0,106.99,0.6687
ENG-00030,2024-12-01,160.0,112.0,0.7
ENG-00030,2025-01-01,160.0,87.65,0.5478
ENG-00030,2025-02-01,160.0,115.31,0.7207
ENG-00030,2025-03-01,160.0,89.03,0.5564
ENG-00030,2025-04-01,160.0,118.41,0.7401
ENG-00030,2025-05-01,160.0,118.3,0.7394
ENG-00030,2025-06-01,160.0,105.46,0.6591
ENG-00030,2025-07-01,160.0,124.63,0.7789
ENG-00030,2025-08-01,160.0,104.33,0.652
ENG-00031,2024-08-01,160.0,109.13,0.6821
ENG-00031,2024-09-01,160.0,126.3,0.7894
ENG-00031,2024-10-01,160.0,106.3,0.6644
ENG-00031,2024-11-01,160.0,88.97,0.556
ENG-00031,2024-12-01,160.0,104.97,0.6561
ENG-00031,2025-01-01,160.0,101.98,0.6374
ENG-00031,2025-02-01,160.0,135.44,0.8465
ENG-00031,2025-03-01,160.0,108.3,0.6769
ENG-00031,2025-04-01,160.0,129.78,0.8111
